"robot_vr.position.x","robot_vr.position.y","robot_vr.position.z"
-0.725332,0.5609229,-1.135189
-0.7151947,0.5640172,-1.087699
-0.6803286,0.5692385,-0.9506857
-0.6568861,0.5680119,-0.8088708
-0.6290708,0.5738117,-0.6623105
-0.6033159,0.5774248,-0.5163168
-0.5824267,0.5817163,-0.3681906
-0.5646552,0.5872362,-0.2204681
-0.5646552,0.5872362,-0.2204681
-0.5784142,0.590104,-0.1131637
-0.6084084,0.5900477,-0.09858555
-0.6417019,0.5915992,-0.0587517
-0.7278109,0.5926933,0.04372674
-0.8263775,0.5931953,0.1541131
-0.8263775,0.5931953,0.1541131
-0.8792964,0.5946444,0.2433201
-0.8700104,0.595383,0.2641392
-0.8767676,0.5982088,0.3223772
-0.8973114,0.6003844,0.4563751
-0.9199539,0.6044905,0.6032643
-0.9472315,0.6115435,0.7494185
-0.9794071,0.6174395,0.8923748
-0.9794071,0.6174395,0.8923748
-0.9834265,0.6171467,1.005971
-0.9515799,0.616459,1.012037
-0.9511703,0.6189443,1.015447
-0.9607199,0.6186764,1.03112
-0.9525251,0.6184651,1.032075
-0.9442379,0.6188519,1.014805
-0.951262,0.61897,1.013623
-0.9603141,0.6195469,1.029842
-0.9525377,0.6197555,1.033633
-0.9463683,0.6198071,1.017915
-0.9534035,0.6207097,1.016366
-0.9589836,0.6206857,1.03469
-0.9517614,0.6199725,1.035416
-0.9577209,0.6208917,1.03898
-0.9516448,0.620813,1.035031
-0.9498751,0.6202921,1.015499
-0.9566751,0.6193391,0.9926038
-0.9692822,0.6197596,0.9721086
-0.9869207,0.6185114,0.9589899
-0.9947717,0.6184888,0.955233
-0.9429568,0.6190292,0.9168297
-0.8228516,0.617335,0.8298101
-0.6986895,0.6172929,0.7439009
-0.5725951,0.6173983,0.6610866
-0.4446565,0.6168308,0.5795189
-0.3141501,0.6165766,0.5019771
-0.1842549,0.6189264,0.4254417
-0.04430044,0.6188672,0.3505291
0.08935583,0.6228116,0.2814925
0.2254612,0.620909,0.2148324
0.2254612,0.620909,0.2148324
0.2867179,0.6198508,0.1539692
0.2856129,0.620154,0.136964
0.3171595,0.6210829,0.07634568
0.3848964,0.6184579,-0.04611361
0.4578227,0.6151068,-0.17545
0.5341932,0.6096075,-0.3055264
0.6140884,0.610691,-0.4331307
0.6953233,0.6076719,-0.5607826
0.7832092,0.607567,-0.6911812
0.8700234,0.6053996,-0.8150122
0.9064037,0.6027206,-0.9075544
0.8760325,0.6009561,-0.9213941
0.8536936,0.6010225,-0.9035467
0.8492144,0.6007822,-0.8799057
0.8541414,0.6024929,-0.855667
0.8612233,0.6017874,-0.8588579
0.8583466,0.6020228,-0.8797579
0.850592,0.6014476,-0.8861194
0.8475889,0.6013591,-0.8688904
0.8519758,0.6016309,-0.8524044
0.8618003,0.6017253,-0.8394529
0.8746537,0.6034116,-0.8280656
0.895651,0.6037282,-0.8195202
0.9184536,0.6039487,-0.8188268
0.9306275,0.6044874,-0.824662
0.9239494,0.6075113,-0.7600132
0.9082319,0.6101304,-0.6235023
0.8869339,0.6140276,-0.4765216
0.8627783,0.6211437,-0.3296405
0.8342289,0.6225741,-0.1805456
0.8047074,0.6274496,-0.03394294
0.7713503,0.6321764,0.1121819
0.735841,0.6366144,0.2580359
0.694232,0.6401489,0.4127197
0.6520839,0.6433663,0.5588617
0.6086013,0.6472592,0.7014508
0.6086013,0.6472592,0.7014508
0.6052612,0.649417,0.7974074
0.6381627,0.6538424,0.801018
0.6297308,0.6505336,0.8084716
0.6168634,0.6496408,0.820541
0.6123838,0.6473978,0.8253062
0.6123838,0.6473978,0.8253062
0.6242652,0.6440405,0.8184812
0.626687,0.6441946,0.813056
0.626687,0.6441946,0.813056
0.61474,0.64622,0.8228244
0.6123322,0.6470575,0.8264878
0.6123322,0.6470575,0.8264878
0.6237791,0.6459103,0.8205916
0.6258317,0.6432191,0.8144398
0.6258317,0.6432191,0.8144398
0.6108977,0.642558,0.824874
0.611622,0.6454564,0.8279865
0.6279429,0.6449217,0.8967857
0.6279429,0.6449217,0.8967857
0.6685261,0.6450253,0.9542266
0.6736075,0.6453894,0.9674343
0.6633155,0.6503276,0.9870689
0.6742058,0.6501015,0.9856478
0.6850233,0.6565667,0.9686897
0.6756791,0.6527568,0.9680877
0.6622703,0.6540636,0.9835283
0.6619041,0.6518301,0.9892476
0.6742727,0.6519186,0.9780805
0.6699908,0.6523806,0.9721068
0.6584746,0.6591991,0.9842176
0.6598034,0.6579533,0.9907492
0.6706002,0.65303,0.9785517
0.6642749,0.6531484,0.9746389
0.6506968,0.6492581,0.9851992
0.6562431,0.6521367,0.9891198
0.6506832,0.653841,0.9889753
0.6387054,0.6536771,1.000163
0.6244037,0.6525159,1.012132
0.6048461,0.6503825,1.020991
0.5852413,0.6492361,1.027727
0.5642908,0.6512685,1.032079
0.5438282,0.6544598,1.031284
0.5228977,0.6571617,1.024588
