"robot_vr.position.x","robot_vr.position.y","robot_vr.position.z","robot_vr.direction.x","robot_vr.direction.y","robot_vr.direction.z"
-0.155319,0.6090653,0.04916537,0.04647227,323.9456,0.6316982
-0.1297704,0.6077096,0.04938614,359.8528,345.8304,0.120533
-0.1528049,0.609826,0.1058047,0.2260362,342.4987,0.5351253
-0.2112713,0.6101635,0.2501682,359.9665,339.2642,359.9935
-0.284971,0.6144729,0.4098184,359.6589,337.7191,359.9296
-0.366033,0.6133206,0.5791875,359.6076,335.8802,0.3164167
-0.366033,0.6133206,0.5791875,359.6076,335.8802,0.3164167
-0.4010854,0.6164815,0.7038617,0.2422767,353.4312,359.744
-0.3589945,0.6178147,0.7160158,358.3654,42.85331,358.0995
-0.3500024,0.6193619,0.7075145,359.1524,56.1599,357.1739
-0.298403,0.6239498,0.7522128,358.6544,53.32198,358.9526
-0.1754605,0.6281577,0.8562521,359.1169,51.16394,357.725
-0.1754605,0.6281577,0.8562521,359.1169,51.16394,357.725
-0.1085497,0.634369,0.9598635,358.7489,26.19679,358.2695
-0.1053194,0.6353875,0.9831631,358.8309,15.23499,358.7077
-0.08336651,0.6345104,0.9710507,358.4872,38.29311,358.1161
-0.08442628,0.6377722,0.9635031,357.4832,44.24462,357.3114
-0.1048828,0.6349962,0.9817088,358.8283,20.67446,358.5889
-0.1069872,0.6355352,0.9910609,358.6397,12.07787,359.3373
-0.08525741,0.6345605,0.9775627,358.6429,33.7575,358.16
-0.08743489,0.6367692,0.9711727,357.9651,38.56939,358.0319
-0.106382,0.6352744,0.9869632,358.897,15.99477,358.6781
-0.1076247,0.6348407,0.9950663,359.1758,8.591778,359.2154
-0.08580506,0.6358222,0.9833436,359.0234,29.29264,358.5318
-0.09058177,0.6345724,0.9787138,358.9776,31.34926,358.4038
-0.109429,0.6367939,0.9920191,358.8596,8.698925,358.8971
-0.1151708,0.6376266,1.000261,359.1461,359.1851,359.6088
-0.1156031,0.6396956,0.9966917,358.7928,0.9751261,359.2919
-0.1221247,0.6338109,0.9975187,359.2682,353.5997,359.9746
-0.1256446,0.6329437,0.9932163,358.9107,356.0393,359.5086
-0.1285655,0.6284763,0.9942646,359.1824,350.9318,0.5164716
-0.1018121,0.6292617,0.9862924,359.3623,12.99813,359.5229
-0.07740378,0.629202,0.9620442,358.8183,34.92713,358.6661
-0.05723894,0.6315848,0.9293033,359.0977,55.12289,357.6638
-0.05077779,0.6369286,0.8984482,359.4216,75.31052,356.872
-0.05796051,0.6373982,0.8658533,359.7954,98.46101,356.1815
-0.0787394,0.6364577,0.843752,0.9219727,125.0901,355.5197
-0.1116587,0.6296806,0.8330764,2.498389,153.0144,355.8988
-0.1430846,0.6307366,0.8383791,2.931893,181.0083,356.3742
-0.1522118,0.6290749,0.8440707,3.589727,189.89,356.9989
-0.1556125,0.6301877,0.778375,2.966421,186.9232,357.0575
-0.1630913,0.6176513,0.6294738,4.133043,185.9158,358.0441
-0.1719377,0.6226116,0.4659717,1.375584,182.9354,355.0245
-0.1427447,0.6120189,0.343505,2.126107,169.9976,356.3754
-0.09211111,0.6080503,0.2155139,1.718688,163.2962,354.8888
-0.02734017,0.6006365,0.05833352,2.608983,160.4805,355.9642
-0.02734017,0.6006365,0.05833352,2.608983,160.4805,355.9642
0.0367986,0.6095579,-0.1074892,2.437687,158.4793,355.9609
0.07754397,0.6072191,-0.2378972,2.210391,174.0282,356.8483
0.03210378,0.6031362,-0.2571595,3.650175,222.316,357.8929
0.0151571,0.6050799,-0.2275757,2.988613,256.1135,359.3936
0.0228914,0.6049137,-0.1947048,2.064475,286.4314,0.5023772
0.04837894,0.6079144,-0.1712894,0.5812228,315.5271,0.3310208
0.08265436,0.608539,-0.1634058,0.005069312,343.223,359.9924
0.1165907,0.6085047,-0.1733746,359.1514,10.28885,359.2401
0.1106553,0.6086587,-0.1822361,359.3867,12.7444,359.1255
0.08712685,0.6076111,-0.1807948,359.3239,348.8878,359.9707
0.08482206,0.6084342,-0.1745322,0.08820157,346.7895,0.5356064
0.07660413,0.6084592,-0.1779976,359.8187,346.2083,359.9294
0.05402315,0.6072013,-0.1820657,0.3988142,323.1119,0.1264584
0.02574265,0.6056769,-0.1975535,1.651805,294.9803,0.008406173
0.007450223,0.6042981,-0.222651,3.282656,267.2125,359.6039
-0.001653314,0.6044028,-0.2496775,3.458402,242.9806,358.5423
-0.01587713,0.6009341,-0.2492687,4.455425,245.66,358.7887
-0.01596069,0.6045872,-0.225337,3.069845,267.9745,359.8714
-0.007361054,0.6038028,-0.2016406,2.353422,286.6078,0.2434406
0.00904274,0.6028949,-0.1846454,1.533957,304.5158,0.9777848
0.03614151,0.6065178,-0.1676979,0.7215108,325.9727,0.7202142
0.06657445,0.6078022,-0.1682541,359.5476,351.8568,359.8637
0.0939194,0.6090353,-0.1842397,358.3518,19.4128,359.038
0.08647823,0.6081527,-0.1905406,358.2033,15.9898,359.1522
