"robot_vr.position.x","robot_vr.position.y","robot_vr.position.z","robot_vr.direction.x","robot_vr.direction.y","robot_vr.direction.z"
0.1314318,0.6385745,1.003621,359.7208,42.26089,358.5429
0.1169388,0.6403821,1.02495,359.5392,17.06602,359.3847
0.09284735,0.6389403,1.039723,0.2231645,349.4447,0.3120834
0.06444108,0.6387246,1.043334,1.018656,323.0656,0.7447091
0.03663588,0.6376119,1.039098,2.239151,299.8349,0.8442661
0.01588929,0.6377869,1.019967,3.280581,273.5804,0.5606939
0.002750754,0.6357055,0.9935498,3.780423,247.8472,359.6556
0.0002030134,0.6370612,0.9607155,3.979583,221.4406,358.9447
-0.0175885,0.6344857,0.9704597,4.395467,239.0187,359.5846
-0.0175885,0.6344857,0.9704597,4.395467,239.0187,359.5846
-0.02203166,0.6359007,0.9973614,4.009429,260.8521,0.1443109
-0.0155493,0.6366837,1.024243,3.060954,279.5192,0.2866591
0.0003999472,0.6387094,1.047744,2.421572,300.3237,0.7294124
-0.01046276,0.6372758,1.022531,3.485518,281.1563,0.8344824
-0.02008331,0.6361343,0.9954234,3.691249,254.363,359.8569
-0.02009284,0.6360877,0.9670392,4.048362,227.2189,359.072
-0.008724928,0.6349673,0.9407066,4.003538,200.6015,357.9525
0.01247108,0.6357563,0.9191611,3.411332,174.7126,357.254
0.01247108,0.6357563,0.9191611,3.411332,174.7126,357.254
0.0388875,0.6354949,0.9082708,3.083429,149.1837,356.3092
0.01755488,0.6365197,0.9006083,3.20864,173.5283,357.0874
-0.005867958,0.6376243,0.9104193,3.921602,201.5621,358.1635
-0.02205467,0.6352828,0.9319706,4.165431,227.3946,359.009
-0.0798465,0.6315444,0.8718258,3.729539,224.9546,358.9982
-0.1919371,0.6270713,0.7549816,3.56557,223.6689,359.0116
-0.2608501,0.619754,0.6365396,3.822652,210.8186,359.9518
-0.3287347,0.6155239,0.4983865,4.122978,206.475,358.5364
-0.3287347,0.6155239,0.4983865,4.122978,206.475,358.5364
-0.3442906,0.6091216,0.3884304,4.219649,178.0597,357.0012
-0.2928785,0.6089787,0.381268,1.655825,129.6,356.4358
-0.2764313,0.6090379,0.3872454,1.456334,113.1284,356.6468
-0.2764313,0.6090379,0.3872454,1.456334,113.1284,356.6468
-0.2882152,0.6096494,0.3711247,1.880789,129.8899,356.7912
-0.2935275,0.6104888,0.3680516,2.524737,137.6451,356.8083
-0.2462186,0.6107601,0.3222067,1.688318,136.2886,357.059
-0.1337776,0.6114063,0.2107565,1.831005,135.3069,356.7128
-0.008255482,0.6098847,0.08843803,2.394593,134.3363,356.5015
-0.008255482,0.6098847,0.08843803,2.394593,134.3363,356.5015
0.08058667,0.6104399,-0.02133107,3.010626,148.5391,355.898
0.04595518,0.6086749,-0.05620265,4.377927,198.6407,357.969
0.01595187,0.6095977,-0.03638458,4.1469,235.1545,359.2533
0.007393718,0.6099722,-0.005044997,3.940909,258.9265,359.8508
0.01371014,0.6095321,0.006367803,3.165598,270.318,0.09053209
0.01247978,0.6105535,-0.01960528,3.234691,247.0244,359.2068
0.008092284,0.6091348,-0.03679025,4.288436,234.1528,358.8222
-0.002442241,0.6093076,-0.01662862,4.087665,252.939,359.7357
