"robot_sim.position.x","robot_sim.position.y","robot_sim.position.z","robot_sim.direction.x","robot_sim.direction.y","robot_sim.direction.z"
-2.724512,0.5750003,1.160062,0.0004912461,54.16953,0.0004797451
-2.724303,0.5750001,1.163815,0.0003130293,54.68222,0.0002111097
-2.724363,0.5749998,1.16389,-0.000155185,52.52594,0.00008200362
-2.724354,0.575001,1.163895,0.0004167386,51.91479,0.00004230783
-2.72423,0.5750004,1.163764,0.0003239085,55.31244,-0.00008560316
-2.72423,0.5749999,1.163776,-0.000251175,55.32492,-0.0000735515
-2.724258,0.5749998,1.163803,-0.0001666645,54.43359,0.00007566614
-2.724311,0.5749998,1.163862,-0.0001612766,52.63557,0.00007920831
-2.724354,0.575007,1.163926,0.00142492,51.02542,0.0008981273
-2.724263,0.5750004,1.163797,0.0003211253,54.4546,-0.00007070012
-2.724274,0.5749961,1.163808,-0.00091897,54.11735,-0.0003318791
-2.724311,0.5749998,1.163857,-0.0001522728,52.79799,0.00008305781
-2.724324,0.5750006,1.163847,0.0003637575,52.14197,-0.00003719153
-2.724256,0.5749999,1.163746,0.0004128288,54.79823,0.0002596603
-2.724314,0.5749998,1.163822,-0.0001576037,52.64421,0.00008571926
-2.724348,0.5750059,1.163857,0.001233187,51.46942,0.0007243183
-2.724259,0.5750004,1.163729,0.0003181708,54.87942,-0.00008173012
-2.724242,0.5750004,1.163717,-0.00059235,55.52235,-0.0007009857
-2.724248,0.5749999,1.163703,-0.0002538755,55.53232,-0.00006805044
-2.724276,0.5749998,1.16373,-0.0001572439,54.64121,0.00007813919
-2.724382,0.5749998,1.163875,-0.0001594648,50.76183,0.00008153807
-2.724328,0.5750005,1.163795,0.0003219589,52.75949,-0.00007005545
-2.724272,0.5750004,1.163706,0.000319237,55.07196,-0.00007547541
-2.724226,0.5750002,1.163713,0.0004500033,55.07066,0.0002789905
-2.724283,0.5749998,1.16379,-0.0001558612,52.92128,0.00008776848
-2.724349,0.5749998,1.16387,-0.0001554098,50.65503,0.00007914216
-2.724364,0.5749996,1.163881,0.0004270994,50.28629,0.0004942473
-2.723647,0.5750005,1.162218,0.0003545362,91.24646,-0.00007859233
-2.725627,0.5750005,1.159783,0.0003464591,170.2454,-0.00007704006
-2.730406,0.5750012,1.077466,-0.00008692789,193.4433,0.0002907984
-2.742395,0.5750316,0.9684566,359.9851,184.6618,0.01798139
-2.758208,0.5750315,0.8163694,359.9852,184.6956,0.01779793
-2.779449,0.5750315,0.6134065,359.9852,184.7312,0.01782377
-2.796306,0.5750338,0.402837,359.9843,174.8142,0.02093421
-2.795498,0.5750383,0.2494475,359.9834,159.619,0.01614058
-2.761496,0.5750364,0.1306697,359.9858,153.1318,0.01262406
-2.735259,0.575018,0.06589925,-0.004547479,129.9558,0.009676228
-2.730546,0.5750028,0.0648118,0.001061044,133.8088,-0.0001079253
-2.729194,0.5750005,0.0646866,0.0003188278,136.383,-0.00007823514
-2.72801,0.5750004,0.06459567,0.000305515,139.1224,-0.00007533177
-2.72717,0.5749962,0.06451825,-0.0004871422,139.3803,-0.0006922118
-2.726688,0.5749998,0.0645786,-0.0001434662,135.0656,0.00007197534
-2.726627,0.5749992,0.06465607,-0.0001014104,132.9601,0.0001689371
-2.726634,0.5750002,0.06452022,-0.0007376351,133.3251,0.001208315
-2.726607,0.5750008,0.06421354,-0.0004647678,132.5799,0.00110638
-2.726605,0.5750003,0.06379814,0.0006135374,132.6494,-0.0003985017
-2.726628,0.5749977,0.06349319,0.01098931,133.5404,359.9861
-2.726691,0.5750024,0.06364379,0.0008738389,134.4875,-0.00005210427
-2.726856,0.5750004,0.06350671,0.0002987039,138.0711,-0.00007930565
-2.726962,0.5750004,0.06334624,0.0003038474,139.8189,-0.00008315263
-2.726963,0.5749992,0.0634187,0.00005513164,139.5731,-0.0002959706
-2.727005,0.5750004,0.06323913,0.0003082746,140.5567,-0.00008423586
-2.72692,0.5750004,0.06319259,0.0003044338,139.033,-0.00008196665
-2.72687,0.5749958,0.06313566,-0.001506952,137.8389,0.0006231294
-2.726953,0.575,0.06323856,-0.00005185211,139.9085,0.00003022314
-2.726921,0.5749982,0.06310366,-0.0003645555,138.5985,-0.0002052724
-2.72692,0.5749975,0.06286585,-0.0005989593,138.1663,-0.0001972909
-2.726792,0.5749998,0.06290004,-0.0001431999,134.3331,0.00006912347
-2.726722,0.5749854,0.06297966,-0.002506065,131.7447,-0.002049935
-2.726737,0.5749986,0.06294808,-0.000212082,133.2875,-0.00007682934
-2.726819,0.5750007,0.06286487,0.0003485228,136.0429,-0.00002669689
-2.726877,0.5749941,0.06281418,-0.001156477,137.7739,-0.0008190428
-2.726775,0.5749998,0.0629171,-0.0001399115,134.4892,0.00006374852
-2.726747,0.5749966,0.06303123,-0.0006853804,133.4834,-0.000392487
